Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance
Abbotsford,68 Studley St,2,h,,SS,Jellis,03-09-2016,2.5
Abbotsford,55a Park St,4,h,1600000.0,VB,Nelson,04-06-2016,2.5
Abbotsford,16 Maugie St,4,h,,SN,Nelson,06-08-2016,2.5
Abbotsford,53 Turner St,2,h,,S,Biggin,06-08-2016,2.5
Abbotsford,99 Turner St,2,h,,S,Collins,06-08-2016,2.5
Abbotsford,129 Charles St,2,h,941000.0,S,Jellis,07-05-2016,2.5
Abbotsford,124 Yarra St,3,h,1876000.0,S,Nelson,07-05-2016,2.5
Abbotsford,121/56 Nicholson St,2,u,,PI,Biggin,07-11-2016,2.5
Abbotsford,17 Raphael St,4,h,,W,Biggin,07-11-2016,2.5
Abbotsford,98 Charles St,2,h,1636000.0,S,Nelson,08-10-2016,2.5
Abbotsford,217 Langridge St,3,h,1000000.0,S,Jellis,08-10-2016,2.5
Abbotsford,18a Mollison St,2,t,745000.0,S,Jellis,08-10-2016,2.5
Abbotsford,6/241 Nicholson St,1,u,300000.0,S,Biggin,08-10-2016,2.5
Abbotsford,10 Valiant St,2,h,1097000.0,S,Biggin,08-10-2016,2.5
Abbotsford,403/609 Victoria St,2,u,542000.0,S,Dingle,08-10-2016,2.5
Abbotsford,411/8 Grosvenor St,2,u,700000.0,VB,Jellis,12-11-2016,2.5
Abbotsford,40 Nicholson St,3,h,1350000.0,VB,Nelson,12-11-2016,2.5
Abbotsford,123/56 Nicholson St,2,u,750000.0,S,Biggin,12-11-2016,2.5
Abbotsford,22 Park St,4,h,1985000.0,S,Biggin,12-11-2016,2.5
Abbotsford,13/84 Trenerry Cr,1,u,500000.0,S,Biggin,12-11-2016,2.5
Abbotsford,45 William St,2,h,1172500.0,S,Biggin,13-08-2016,2.5
Abbotsford,7/20 Abbotsford St,1,u,441000.0,SP,Greg,14-05-2016,2.5
Abbotsford,16 William St,2,h,1310000.0,S,Jellis,15-10-2016,2.5
Abbotsford,16/11 Nicholson St,3,u,,PI,Philip,16-04-2016,2.5
Abbotsford,42 Henry St,3,h,1200000.0,S,Jellis,16-07-2016,2.5
Abbotsford,250 Langridge St,2,t,847000.0,S,Jellis,16-07-2016,2.5
Abbotsford,16b Mollison St,2,h,,PI,Biggin,16-07-2016,2.5
Abbotsford,78 Yarra St,3,h,1176500.0,S,LITTLE,16-07-2016,2.5
Abbotsford,196 Nicholson St,3,h,955000.0,S,Collins,17-09-2016,2.5
Abbotsford,42 Valiant St,2,h,890000.0,S,Biggin,17-09-2016,2.5
Abbotsford,6/219 Nicholson St,2,u,500000.0,S,Collins,18-06-2016,2.5
Abbotsford,52a William St,2,h,1100000.0,PI,Biggin,18-06-2016,2.5
Abbotsford,119/52 Nicholson St,1,u,423500.0,S,hockingstuart,22-05-2016,2.5
Abbotsford,8b Park St,4,h,,PI,Biggin,22-05-2016,2.5
Abbotsford,5/20 Abbotsford St,1,u,426000.0,SP,Greg,22-08-2016,2.5
Abbotsford,48 Abbotsford St,3,h,1447500.0,PI,Nelson,22-08-2016,2.5
Abbotsford,116/56 Nicholson St,1,u,457000.0,S,Jellis,22-08-2016,2.5
Abbotsford,159 Park St,2,h,1135000.0,S,Nelson,22-08-2016,2.5
Abbotsford,49/84 Trenerry Cr,2,h,700000.0,S,Biggin,23-04-2016,2.5
Abbotsford,31 Turner St,4,h,1542000.0,S,Collins,24-09-2016,2.5
Abbotsford,11/205 Gipps St,1,u,470000.0,S,Nelson,26-07-2016,2.5
Abbotsford,4/328 Johnston St,2,u,,PI,Biggin,28-05-2016,2.5
Abbotsford,200 Nicholson St,2,h,1012500.0,S,Nelson,28-05-2016,2.5
Abbotsford,82/84 Trenerry Cr,2,u,970000.0,SP,Biggin,28-05-2016,2.5
Abbotsford,27 Charles St,2,h,1030000.0,S,Biggin,30-07-2016,2.5
Abbotsford,22 Park St,4,h,,W,Biggin,30-07-2016,2.5
Abbotsford,40/80 Trenerry Cr,3,h,927000.0,S,Biggin,30-07-2016,2.5
Airport West,154 Halsey Rd,3,t,840000.0,PI,Nelson,03-09-2016,13.5
Airport West,4/9 West Ct,2,t,420000.0,VB,Barry,04-06-2016,13.5
Airport West,1/36 York St,3,t,500000.0,VB,Nelson,04-06-2016,13.5
Airport West,33 Bowes Av,5,h,1035000.0,S,Airport,06-08-2016,13.5
Airport West,89 Bowes Av,4,h,960000.0,S,Barry,06-08-2016,13.5
Airport West,45 Laurence Av,4,h,960000.0,S,Nelson,06-08-2016,13.5
Airport West,54 Marshall Rd,3,h,720000.0,S,Barry,06-08-2016,13.5
Airport West,36 Roberts Rd,4,h,785000.0,S,Considine,06-08-2016,13.5
Airport West,11 Harrington Rd,6,h,725000.0,SP,Barry,07-05-2016,13.5
Airport West,2/252 Parer Rd,2,t,450000.0,S,Barry,07-05-2016,13.5
Airport West,3/19 Hart St,2,u,515000.0,S,Barry,07-11-2016,13.5
Airport West,81a Roberts Rd,3,h,680000.0,VB,Nelson,08-10-2016,13.5
Airport West,2/62 Clydesdale Rd,2,u,530000.0,S,Nelson,10-09-2016,13.5
Airport West,3 Deidre Ct,3,h,895000.0,PI,Rendina,10-09-2016,13.5
Airport West,3/24 Elstone Av,3,u,600000.0,VB,Nelson,10-09-2016,13.5
Airport West,1/69 Bowes Av,3,u,580000.0,VB,Nelson,12-11-2016,13.5
Airport West,2/9 El Reno Cr,3,h,725000.0,PI,Ray,12-11-2016,13.5
Airport West,92 McNamara Av,4,h,758000.0,S,Jellis,13-08-2016,13.5
Airport West,145a Victory Rd,2,u,440000.0,S,Barry,13-08-2016,13.5
Airport West,20 Creswell Av,3,h,970000.0,S,Barry,14-05-2016,13.5
Airport West,241 Parer Rd,5,h,755000.0,PI,Propertyau,14-05-2016,13.5
Airport West,71 Bowes Av,4,h,985000.0,S,Barry,15-10-2016,13.5
Airport West,2/40 Earl St,3,t,700000.0,PI,Brad,15-10-2016,13.5
Airport West,2/112 Parer Rd,2,u,509500.0,SP,Nelson,15-10-2016,13.5
Airport West,180 Parer Rd,3,h,830000.0,S,Barry,16-04-2016,13.5
Airport West,4/54 Hawker St,2,u,462500.0,S,Barry,16-07-2016,13.5
Airport West,43 Hillside Gr,3,h,670000.0,SP,Barry,16-07-2016,13.5
Airport West,174 Parer Rd,2,h,675000.0,S,Barry,16-07-2016,13.5
Airport West,138 Victory Rd,3,h,1042000.0,S,Nelson,16-07-2016,13.5
Airport West,75 King St,3,h,910000.0,S,McDonald,17-09-2016,13.5
Airport West,6 Kittyhawk St,4,h,773000.0,S,Brad,17-09-2016,13.5
Airport West,7 McNamara Av,3,h,715000.0,S,Barry,17-09-2016,13.5
Airport West,1/41 Hillside Gr,2,t,460000.0,VB,Nelson,18-06-2016,13.5
Airport West,3/7 South Rd,3,t,540000.0,SP,Nelson,18-06-2016,13.5
Airport West,10 Hilbert Rd,3,h,685000.0,S,Barry,22-05-2016,13.5
Airport West,7/42 York St,3,u,445000.0,S,Brad,22-05-2016,13.5
Airport West,110 Halsey Rd,3,h,805000.0,S,Barry,22-08-2016,13.5
Airport West,2/13 North St,2,u,510000.0,S,Nelson,22-08-2016,13.5
Airport West,105a Victory Rd,3,h,612000.0,S,Nelson,22-08-2016,13.5
Airport West,117 Marshall Rd,3,h,662000.0,S,Brad,23-04-2016,13.5
Airport West,34 Moorna Dr,4,h,978000.0,S,Nelson,24-09-2016,13.5
Airport West,4/40 McNamara Av,2,u,474000.0,PI,Barry,26-07-2016,13.5
Airport West,5/93 McNamara Av,2,t,490000.0,SP,Frank,26-07-2016,13.5
Airport West,2/137 McNamara Av,3,h,405000.0,S,Ray,27-06-2016,13.5
